recid,location,event,eventType,xcoord,ycoord,dt,_date,_time,lon,lat
468,300 BLOCK OF SHIRLEY AVENUE,Nicole (9/30/2010),Flooded street,12129258.72,3481752.757,32:47.0,9/30/2010,32:00.0,-76.290425,36.864399
469,LLEWELLYN AVENUE & SHIRLEY AVENUE,Nicole (9/30/2010),Flooded street,12129725,3481565.875,33:19.0,9/30/2010,33:00.0,-76.288847,36.863856
470,LLEWELLYN AVENUE & W PRINCESS ANNE ROAD,Nicole (9/30/2010),Flooded street,12129374.5,3480689.375,33:48.0,9/30/2010,33:00.0,-76.290115,36.861472
471,900 BLOCK OF TIDEWATER DRIVE,Nicole (9/30/2010),Flooded street,12133924.76,3478090.126,29:00.0,9/30/2010,29:00.0,-76.274775,36.854041
472,CAMPOSTELLA ROAD & E BRAMBLETON AVENUE,Nicole (9/30/2010),Flooded street,12136382,3474442.625,29:38.0,9/30/2010,29:00.0,-76.266674,36.843867
473,2800 BLOCK OF E VIRGINIA BEACH BOULEVARD,Nicole (9/30/2010),Flooded street,12140004.5,3477601.875,30:29.0,9/30/2010,30:00.0,-76.254041,36.852305
474,3500 BLOCK OF SEWELLS POINT ROAD,Nicole (9/30/2010),Flooded street,12144911.22,3490053.955,31:16.0,9/30/2010,31:00.0,-76.236256,36.886175
475,E LITTLE CREEK ROAD & GALVESTON BOULEVARD,Nicole (9/30/2010),Flooded street,12137154.5,3501490.75,31:41.0,9/30/2010,31:00.0,-76.261843,36.918086
476,4TH VIEW STREET & W OCEAN VIEW AVENUE,Nicole (9/30/2010),Flooded street,12137042,3516670,32:02.0,9/30/2010,32:00.0,-76.260997,36.959773
477,300 BLOCK OF E LITTLE CREEK ROAD,Nicole (9/30/2010),Flooded street,12136613.53,3501468.001,32:30.0,9/30/2010,32:00.0,-76.263695,36.918059
478,E LITTLE CREEK ROAD & SAN ANTONIO BOULEVARD,Nicole (9/30/2010),Flooded street,12136058,3501211.25,33:08.0,9/30/2010,33:00.0,-76.265616,36.91739
479,ALEXANDER STREET & STRAND STREET,Nicole (9/30/2010),Flooded street,12144693,3492905.5,34:21.0,9/30/2010,34:00.0,-76.236768,36.894019
